County,State,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
Connecticut,Connecticut,"3,605,944","623,293","2,982,651","2,845,082","2,279,232","360,937","6,404","170,459",974,"27,076","137,569"
Fairfield County,Connecticut,"957,419","205,351","752,068","715,131","552,125","99,992",858,"50,751",173,"11,232","36,937"
Hartford County,Connecticut,"899,498","166,275","733,223","701,581","523,105","118,154","1,166","53,325",172,"5,659","31,642"
Litchfield County,Connecticut,"185,186","14,580","170,606","163,254","155,601","2,957",268,"3,434",63,931,"7,352"
Middlesex County,Connecticut,"164,245","11,928","152,317","145,879","131,954","8,001",214,"4,923",43,744,"6,438"
New Haven County,Connecticut,"864,835","170,081","694,754","664,569","509,688","110,273","1,413","36,995",247,"5,953","30,185"
New London County,Connecticut,"268,555","30,920","237,635","223,556","194,894","14,422","1,977","10,633",215,"1,415","14,079"
Tolland County,Connecticut,"149,788","9,699","140,089","134,395","120,021","5,074",182,"8,438",44,636,"5,694"
Windham County,Connecticut,"116,418","14,459","101,959","96,717","91,844","2,064",326,"1,960",17,506,"5,242"
Delaware,Delaware,"989,948","104,290","885,658","842,635","579,851","212,960","2,521","42,398",304,"4,601","43,023"
Kent County,Delaware,"181,851","13,981","167,870","156,943","104,845","45,737",864,"4,362",107,"1,028","10,927"
New Castle County,Delaware,"570,719","63,516","507,203","484,250","303,265","142,388",893,"35,022",127,"2,555","22,953"
Sussex County,Delaware,"237,378","26,793","210,585","201,442","171,741","24,835",764,"3,014",70,"1,018","9,143"
Kentucky,Kentucky,"4,505,836","207,854","4,297,982","4,122,619","3,664,764","357,764","8,080","73,843","3,462","14,706","175,363"
Adair County,Kentucky,"18,903",643,"18,260","17,707","17,044",498,26,63,6,70,553
Allen County,Kentucky,"20,588",574,"20,014","19,325","18,987",204,38,48,7,41,689
Anderson County,Kentucky,"23,852",521,"23,331","22,362","21,654",482,50,104,4,68,969
Ballard County,Kentucky,"7,728",93,"7,635","7,323","7,074",208,7,29,0,5,312
Barren County,Kentucky,"44,485","1,889","42,596","41,042","38,804","1,697",73,255,53,160,"1,554"
Bath County,Kentucky,"12,750",182,"12,568","12,288","12,125",127,4,16,1,15,280
Bell County,Kentucky,"24,097",244,"23,853","23,079","22,311",552,32,122,4,58,774
Boone County,Kentucky,"135,968","7,707","128,261","122,225","112,602","5,609",194,"3,048",307,465,"6,036"
Bourbon County,Kentucky,"20,252","1,486","18,766","17,986","16,770","1,033",28,77,8,70,780
Boyd County,Kentucky,"48,261",714,"47,547","45,829","44,035","1,306",89,277,6,116,"1,718"
Boyle County,Kentucky,"30,614","1,490","29,124","27,728","25,074","2,155",38,361,3,97,"1,396"
Bracken County,Kentucky,"8,400",90,"8,310","8,045","7,964",48,14,13,0,6,265
Breathitt County,Kentucky,"13,718",93,"13,625","13,154","13,038",57,11,37,11,0,471
Breckinridge County,Kentucky,"20,432",284,"20,148","19,313","18,743",422,43,38,3,64,835
Bullitt County,Kentucky,"82,217","2,117","80,100","76,635","74,787","1,031",177,445,23,172,"3,465"
Butler County,Kentucky,"12,371",592,"11,779","11,454","11,370",15,22,21,3,23,325
Caldwell County,Kentucky,"12,649",198,"12,451","11,949","11,190",654,21,53,2,29,502
Calloway County,Kentucky,"37,103","1,353","35,750","34,135","32,235","1,293",53,433,11,110,"1,615"
Campbell County,Kentucky,"93,076","2,309","90,767","87,080","82,743","2,796",117,"1,024",30,370,"3,687"
Carlisle County,Kentucky,"4,826",133,"4,693","4,539","4,443",59,27,10,0,0,154
Carroll County,Kentucky,"10,810",795,"10,015","9,648","9,401",169,20,44,3,11,367
Carter County,Kentucky,"26,627",254,"26,373","25,769","25,425",209,45,58,1,31,604
Casey County,Kentucky,"15,941",539,"15,402","15,052","14,836",81,42,52,1,40,350
Christian County,Kentucky,"72,748","5,752","66,996","63,323","46,400","15,221",272,939,211,280,"3,673"
Clark County,Kentucky,"36,972","1,477","35,495","34,267","32,267","1,635",63,209,14,79,"1,228"
Clay County,Kentucky,"20,345",353,"19,992","19,581","18,686",816,26,21,11,21,411
Clinton County,Kentucky,"9,253",245,"9,008","8,757","8,680",39,10,10,3,15,251
Crittenden County,Kentucky,"8,990",113,"8,877","8,648","8,524",82,15,5,5,17,229
Cumberland County,Kentucky,"5,888",77,"5,811","5,610","5,445",150,1,2,6,6,201
Daviess County,Kentucky,"103,312","4,145","99,167","95,071","87,327","4,827",130,"2,417",59,311,"4,096"
Edmonson County,Kentucky,"12,126",156,"11,970","11,661","11,486",98,31,32,7,7,309
Elliott County,Kentucky,"7,354",91,"7,263","7,160","6,875",246,14,10,0,15,103
Estill County,Kentucky,"14,163",131,"14,032","13,690","13,619",30,23,7,0,11,342
Fayette County,Kentucky,"322,570","29,750","292,820","278,498","215,343","47,501",480,"13,374",133,"1,667","14,322"
Fleming County,Kentucky,"15,082",218,"14,864","14,546","14,314",148,22,17,3,42,318
Floyd County,Kentucky,"35,942",308,"35,634","34,934","34,654",121,28,96,1,34,700
Franklin County,Kentucky,"51,541","2,047","49,494","47,074","41,282","4,444",91,"1,031",14,212,"2,420"
Fulton County,Kentucky,"6,515",151,"6,364","6,067","4,566","1,433",13,17,11,27,297
Gallatin County,Kentucky,"8,690",492,"8,198","7,871","7,762",74,4,13,7,11,327
Garrard County,Kentucky,"16,953",451,"16,502","15,857","15,433",301,27,51,8,37,645
Grant County,Kentucky,"24,941",741,"24,200","23,208","22,823",179,51,66,33,56,992
Graves County,Kentucky,"36,649","2,773","33,876","32,426","30,527","1,551",96,173,3,76,"1,450"
Grayson County,Kentucky,"26,420",364,"26,056","25,308","24,756",308,71,96,2,75,748
Green County,Kentucky,"11,107",199,"10,908","10,596","10,361",160,17,28,2,28,312
Greenup County,Kentucky,"35,962",317,"35,645","34,579","33,974",219,68,230,5,83,"1,066"
Hancock County,Kentucky,"9,095",162,"8,933","8,717","8,586",79,4,34,0,14,216
Hardin County,Kentucky,"110,702","6,695","104,007","97,213","81,085","12,510",378,"2,243",400,597,"6,794"
Harlan County,Kentucky,"26,831",265,"26,566","25,729","25,001",541,54,85,0,48,837
Harrison County,Kentucky,"18,692",387,"18,305","17,643","17,216",307,26,46,1,47,662
Hart County,Kentucky,"19,288",334,"18,954","18,311","17,492",705,33,45,6,30,643
Henderson County,Kentucky,"44,793","1,368","43,425","41,480","37,323","3,632",78,239,41,167,"1,945"
Henry County,Kentucky,"15,678",545,"15,133","14,539","14,065",349,45,35,0,45,594
Hickman County,Kentucky,"4,521",102,"4,419","4,264","3,866",380,6,11,0,1,155
Hopkins County,Kentucky,"45,423","1,126","44,297","42,404","39,054","2,902",70,230,29,119,"1,893"
Jackson County,Kentucky,"12,955",96,"12,859","12,591","12,509",12,36,19,4,11,268
Jefferson County,Kentucky,"782,969","59,021","723,948","689,969","490,251","167,067","1,441","26,944",559,"3,707","33,979"
Jessamine County,Kentucky,"52,991","2,384","50,607","48,402","45,191","2,247",106,658,27,173,"2,205"
Johnson County,Kentucky,"22,680",198,"22,482","22,062","21,860",42,39,101,4,16,420
Kenton County,Kentucky,"169,064","7,741","161,323","153,267","142,167","8,061",234,"2,015",241,549,"8,056"
Knott County,Kentucky,"14,251",90,"14,161","13,911","13,813",65,8,18,0,7,250
Knox County,Kentucky,"30,193",347,"29,846","28,992","28,509",281,82,85,1,34,854
Larue County,Kentucky,"14,867",479,"14,388","13,814","13,299",377,47,29,15,47,574
Laurel County,Kentucky,"62,613","1,011","61,602","59,613","58,503",440,143,426,4,97,"1,989"
Lawrence County,Kentucky,"16,293",148,"16,145","15,811","15,721",36,2,23,4,25,334
Lee County,Kentucky,"7,395",60,"7,335","7,187","6,887",280,1,0,0,19,148
Leslie County,Kentucky,"10,513",72,"10,441","10,243","10,170",39,15,15,0,4,198
Letcher County,Kentucky,"21,548",133,"21,415","20,974","20,773",87,30,57,0,27,441
Lewis County,Kentucky,"13,080",83,"12,997","12,672","12,599",36,18,9,4,6,325
Lincoln County,Kentucky,"24,275",475,"23,800","23,093","22,493",459,33,60,2,46,707
Livingston County,Kentucky,"8,888",186,"8,702","8,308","8,232",25,19,12,6,14,394
Logan County,Kentucky,"27,432",853,"26,579","25,593","23,681","1,680",43,95,2,92,986
Lyon County,Kentucky,"8,680",152,"8,528","8,320","7,733",507,25,34,0,21,208
McCracken County,Kentucky,"67,875","2,135","65,740","62,411","53,801","7,539",170,660,18,223,"3,329"
McCreary County,Kentucky,"16,888",365,"16,523","16,090","15,072",908,58,32,3,17,433
McLean County,Kentucky,"9,152",164,"8,988","8,791","8,691",47,10,13,2,28,197
Madison County,Kentucky,"92,701","3,064","89,637","84,983","79,591","3,880",190,"1,006",56,260,"4,654"
Magoffin County,Kentucky,"11,637",66,"11,571","11,387","11,335",14,14,5,6,13,184
Marion County,Kentucky,"19,581",681,"18,900","18,211","16,779","1,209",0,123,47,53,689
Marshall County,Kentucky,"31,659",539,"31,120","30,041","29,697",101,60,129,9,45,"1,079"
Martin County,Kentucky,"11,287",290,"10,997","10,843","10,002",780,42,17,1,1,154
Mason County,Kentucky,"17,120",356,"16,764","15,973","14,777","1,017",29,107,0,43,791
Meade County,Kentucky,"30,003","1,133","28,870","27,407","25,912",952,132,217,73,121,"1,463"
Menifee County,Kentucky,"6,113",57,"6,056","5,920","5,873",30,12,2,2,1,136
Mercer County,Kentucky,"22,641",703,"21,938","21,058","20,100",748,40,74,14,82,880
Metcalfe County,Kentucky,"10,286",230,"10,056","9,777","9,620",114,3,7,0,33,279
Monroe County,Kentucky,"11,338",473,"10,865","10,651","10,389",218,9,10,0,25,214
Montgomery County,Kentucky,"28,114",925,"27,189","26,214","25,363",614,26,145,1,65,975
Morgan County,Kentucky,"13,726",417,"13,309","13,053","12,510",492,20,17,4,10,256
Muhlenberg County,Kentucky,"30,928",569,"30,359","29,594","28,204","1,203",64,58,3,62,765
Nelson County,Kentucky,"46,738","1,214","45,524","43,758","41,113","2,183",62,267,8,125,"1,766"
Nicholas County,Kentucky,"7,537",154,"7,383","7,198","7,124",41,10,7,2,14,185
Ohio County,Kentucky,"23,772",993,"22,779","22,154","21,872",155,26,45,2,54,625
Oldham County,Kentucky,"67,607","3,235","64,372","61,533","57,836","2,198",108,"1,160",17,214,"2,839"
Owen County,Kentucky,"11,278",251,"11,027","10,630","10,486",83,22,18,4,17,397
Owsley County,Kentucky,"4,051",42,"4,009","3,927","3,905",11,1,1,5,4,82
Pendleton County,Kentucky,"14,644",201,"14,443","13,985","13,833",56,21,30,3,42,458
Perry County,Kentucky,"28,473",221,"28,252","27,458","26,748",374,51,255,1,29,794
Pike County,Kentucky,"58,669",695,"57,974","56,660","55,635",485,68,369,11,92,"1,314"
Powell County,Kentucky,"13,129",197,"12,932","12,641","12,507",64,17,30,0,23,291
Pulaski County,Kentucky,"65,034","1,877","63,157","61,033","59,600",677,160,436,10,150,"2,124"
Robertson County,Kentucky,"2,193",19,"2,174","2,122","2,106",6,3,7,0,0,52
Rockcastle County,Kentucky,"16,037",172,"15,865","15,453","15,316",52,33,28,0,24,412
Rowan County,Kentucky,"24,662",541,"24,121","23,444","22,773",372,32,157,5,105,677
Russell County,Kentucky,"17,991",781,"17,210","16,798","16,497",113,58,104,3,23,412
Scott County,Kentucky,"57,155","3,103","54,052","51,458","47,704","2,907",56,587,19,185,"2,594"
Shelby County,Kentucky,"48,065","5,295","42,770","40,734","37,363","2,700",76,361,22,212,"2,036"
Simpson County,Kentucky,"19,594",648,"18,946","18,052","16,201","1,622",58,94,5,72,894
Spencer County,Kentucky,"19,490",450,"19,040","18,225","17,764",297,32,90,12,30,815
Taylor County,Kentucky,"26,023",720,"25,303","24,366","22,724","1,252",26,244,10,110,937
Todd County,Kentucky,"12,243",598,"11,645","11,197","10,234",880,14,22,6,41,448
Trigg County,Kentucky,"14,061",317,"13,744","13,253","12,202",950,34,27,6,34,491
Trimble County,Kentucky,"8,474",192,"8,282","8,010","7,914",28,29,27,4,8,272
Union County,Kentucky,"13,668",188,"13,480","12,930","11,802","1,029",27,32,1,39,550
Warren County,Kentucky,"134,554","9,441","125,113","119,369","97,744","12,804",235,"7,295",661,630,"5,744"
Washington County,Kentucky,"12,027",470,"11,557","11,169","10,397",652,25,38,5,52,388
Wayne County,Kentucky,"19,555",902,"18,653","18,210","17,872",228,28,60,5,17,443
Webster County,Kentucky,"13,017",845,"12,172","11,712","11,145",476,23,24,1,43,460
Whitley County,Kentucky,"36,712",687,"36,025","34,960","34,076",531,89,204,10,50,"1,065"
Wolfe County,Kentucky,"6,562",61,"6,501","6,412","6,356",27,9,5,0,15,89
Woodford County,Kentucky,"26,871","2,013","24,858","23,843","22,361","1,211",28,157,10,76,"1,015"
Ohio,Ohio,"11,799,448","521,308","11,278,140","10,776,578","8,954,135","1,457,180","18,949","296,604","4,493","45,217","501,562"
Adams County,Ohio,"27,477",217,"27,260","26,416","26,185",84,74,39,1,33,844
Allen County,Ohio,"102,206","3,272","98,934","93,817","79,691","12,475",233,835,42,541,"5,117"
Ashland County,Ohio,"52,447",862,"51,585","49,871","48,948",383,82,322,33,103,"1,714"
Ashtabula County,Ohio,"97,574","4,489","93,085","88,320","84,064","3,492",154,338,12,260,"4,765"
Athens County,Ohio,"62,431","1,450","60,981","58,544","54,086","2,768",223,"1,210",1,256,"2,437"
Auglaize County,Ohio,"46,422",781,"45,641","44,303","43,643",231,76,242,40,71,"1,338"
Belmont County,Ohio,"66,497",824,"65,673","63,096","60,536","2,071",83,265,11,130,"2,577"
Brown County,Ohio,"43,676",487,"43,189","41,620","41,053",302,68,84,2,111,"1,569"
Butler County,Ohio,"390,357","25,265","365,092","347,150","294,712","34,144",610,"15,658",480,"1,546","17,942"
Carroll County,Ohio,"26,721",299,"26,422","25,510","25,204",122,73,52,3,56,912
Champaign County,Ohio,"38,714",648,"38,066","36,347","35,314",683,79,125,7,139,"1,719"
Clark County,Ohio,"136,001","5,313","130,688","123,709","109,794","12,074",314,898,91,538,"6,979"
Clermont County,Ohio,"208,601","4,956","203,645","194,537","187,749","3,245",345,"2,529",58,611,"9,108"
Clinton County,Ohio,"42,018",765,"41,253","39,538","38,247",819,96,205,6,165,"1,715"
Columbiana County,Ohio,"101,877","1,752","100,125","96,287","93,466","2,082",161,345,16,217,"3,838"
Coshocton County,Ohio,"36,612",401,"36,211","35,180","34,582",389,57,98,7,47,"1,031"
Crawford County,Ohio,"42,025",638,"41,387","39,946","39,388",305,40,131,12,70,"1,441"
Cuyahoga County,Ohio,"1,264,817","83,327","1,181,490","1,135,482","718,753","365,169","1,827","43,739",249,"5,745","46,008"
Darke County,Ohio,"51,881",859,"51,022","49,717","48,994",302,92,181,26,122,"1,305"
Defiance County,Ohio,"38,286","3,950","34,336","33,189","32,276",598,79,133,15,88,"1,147"
Delaware County,Ohio,"214,124","7,012","207,112","198,405","171,420","7,702",242,"18,158",60,823,"8,707"
Erie County,Ohio,"75,622","3,130","72,492","68,553","61,061","6,655",121,474,10,232,"3,939"
Fairfield County,Ohio,"158,921","4,021","154,900","147,862","130,664","13,302",287,"3,063",31,515,"7,038"
Fayette County,Ohio,"28,951",681,"28,270","27,094","26,260",521,43,171,11,88,"1,176"
Franklin County,Ohio,"1,323,807","91,182","1,232,625","1,167,221","787,615","296,076","2,160","73,714",444,"7,212","65,404"
Fulton County,Ohio,"42,713","3,791","38,922","37,531","36,968",225,60,152,6,120,"1,391"
Gallia County,Ohio,"29,220",262,"28,958","27,839","26,955",597,55,148,5,79,"1,119"
Geauga County,Ohio,"95,397","1,664","93,733","90,963","88,958","1,075",36,666,8,220,"2,770"
Greene County,Ohio,"167,966","5,216","162,750","153,697","135,603","11,285",330,"5,516",87,876,"9,053"
Guernsey County,Ohio,"38,438",444,"37,994","36,545","35,717",520,87,149,7,65,"1,449"
Hamilton County,Ohio,"830,639","36,250","794,389","758,408","519,734","207,764","1,173","25,160",618,"3,959","35,981"
Hancock County,Ohio,"74,920","4,198","70,722","68,188","65,107","1,363",79,"1,393",26,220,"2,534"
Hardin County,Ohio,"30,696",697,"29,999","28,939","28,389",256,48,169,8,69,"1,060"
Harrison County,Ohio,"14,483",130,"14,353","13,737","13,425",234,14,40,6,18,616
Henry County,Ohio,"27,662","2,187","25,475","24,839","24,463",155,49,125,4,43,636
Highland County,Ohio,"43,317",424,"42,893","41,333","40,492",518,109,110,8,96,"1,560"
Hocking County,Ohio,"28,050",232,"27,818","26,810","26,502",139,45,71,0,53,"1,008"
Holmes County,Ohio,"44,223",474,"43,749","43,137","42,875",119,33,64,5,41,612
Huron County,Ohio,"58,565","4,084","54,481","52,277","51,242",562,139,216,12,106,"2,204"
Jackson County,Ohio,"32,653",306,"32,347","31,233","30,835",158,88,101,1,50,"1,114"
Jefferson County,Ohio,"65,249","1,159","64,090","60,884","56,545","3,619",109,338,29,244,"3,206"
Knox County,Ohio,"62,721","1,196","61,525","59,360","58,058",565,118,365,17,237,"2,165"
Lake County,Ohio,"232,603","11,362","221,241","211,980","197,069","10,778",236,"3,255",38,604,"9,261"
Lawrence County,Ohio,"58,240",618,"57,622","55,611","54,016","1,100",134,219,7,135,"2,011"
Licking County,Ohio,"178,519","3,988","174,531","166,294","152,935","7,142",386,"4,999",45,787,"8,237"
Logan County,Ohio,"46,150","1,004","45,146","43,024","41,749",673,83,327,11,181,"2,122"
Lorain County,Ohio,"312,964","32,917","280,047","265,641","237,520","22,980",502,"3,569",50,"1,020","14,406"
Lucas County,Ohio,"431,279","32,167","399,112","378,008","284,663","83,398",817,"7,089",115,"1,926","21,104"
Madison County,Ohio,"43,824","1,263","42,561","40,917","37,761","2,664",59,253,4,176,"1,644"
Mahoning County,Ohio,"228,614","14,093","214,521","205,911","169,090","33,770",332,"1,952",59,708,"8,610"
Marion County,Ohio,"65,359","1,956","63,403","60,845","56,114","4,051",140,358,15,167,"2,558"
Medina County,Ohio,"182,470","4,592","177,878","170,928","165,643","2,292",192,"2,184",28,589,"6,950"
